design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green finance policies across Chinese provinces,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Carbon Emission Trading (CET) scheme in pilot cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Labour service cooperation policy implemented in pilot provinces in China,,,
Experimental,Randomised controlled trial,"Implementation of the Promoting Adequate and Healthy Eating (PAAS) program in primary health care units, including innovative actions and professional training focused on group work for food and nutrition, compared to traditional health service activities.",,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of public resource trading centers,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s Income Tax Sharing reform,,,
Quasi-experimental,Fixed effects (incl. DiD),2007 SO2 emission trading pilot program in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Shanghai-Hong Kong and Shenzhen-Hong Kong Stock Connect programs (market liberalization policy),,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion and development of agricultural insurance policies and coverage across Chinese provinces,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Solar Photovoltaic Poverty Alleviation (PVPA) policy, involving the construction of nearly 0.24 million PVPA power plants in China from 2014 to 2020.",,,
Quasi-experimental,"Statistical matching, Fixed effects (incl. DiD)",Implementation of national-level urban agglomeration development planning policies,,,
Quasi-experimental,Fixed effects (incl. DiD),Export liberalization (removal of trade policy uncertainty) following China’s WTO accession,,,
Quasi-experimental,Instrumental variable estimation,"Analysis of the effects of social norms (descriptive and directive) and environmental regulations (reputational incentives, punitive regulations) on rural households’ pesticide packaging waste disposal behavior",,,
Quasi-experimental,Fixed effects (incl. DiD),"The introduction of the Transverse Eco-compensation Mechanism (TECM) in the Xin’an River basin, designed to improve environmental outcomes through financial incentives and regulation affecting upstream and downstream regions.",,,
Quasi-experimental,Fixed effects (incl. DiD),Subsidized livestock insurance policy in Tibetan pastoral regions,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of cleaner production standards (CPS) in China since 2003,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of the National Big Data Comprehensive Pilot Zone to promote the digital economy in selected Chinese cities,,,
Quasi-experimental,Interrupted time series analysis,2017 adjustment of the National Reimbursement Drug List (NRDL) in China to include selected orphan drugs,,,
Quasi-experimental,Fixed effects (incl. DiD),Mandate or encouragement of Environmental Information Disclosure (EID) by Chinese A-share listed companies,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s information benefiting people pilot policy implemented in 2014,,,
Quasi-experimental,Fixed effects (incl. DiD),Supporting policy for resource-exhausted cities (SPREC),,,
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies (R&D subsidies and non-R&D subsidies),,,
Quasi-experimental,Fixed effects (incl. DiD),Opening of high-speed rail in Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s carbon emission trading pilot policy in the iron and steel industry,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Water Rights Reform (WRR) that allocates tradable water rights to water users,,,
Quasi-experimental,Fixed effects (incl. DiD),Mandatory disclosure policy requiring listed firms to disclose R&D activities in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental regulation,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Belt and Road Initiative (BRI) in participating countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the new Environmental Protection Law as a quasi-natural experiment,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Fair Competition Review System in 2016,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'Broadband China' policy to promote digital infrastructure construction,,,
Quasi-experimental,Fixed effects (incl. DiD),Policy shock from the issuance of 'Document 43' on local government debt governance in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Compliance with environmental regulation (environmental compliance) by Chinese firms,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of cross-border e-commerce comprehensive pilot zones (pilot policies) for SMEs,,,
Quasi-experimental,Fixed effects (incl. DiD),"Establishment of national-level urban clusters (Urban Cluster Policy, UCP)",,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of China Pilot Free Trade Zones,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's emission rights mortgage (ERM) policy,,,
Quasi-experimental,Fixed effects (incl. DiD),"Reform of land reserve financing policy in China during 2016–2017, which included the cessation of land reserve loans and the introduction of specialized bonds for land reserves.",,,
Experimental,Randomised controlled trial,"Formalized peer PrEP referral enhanced with HIV self-test (HIVST) delivery among young Kenyan women, compared to informal peer referral, to increase PrEP initiation.",,,
Quasi-experimental,Fixed effects (incl. DiD),Addition of pulsed xenon ultraviolet (PX-UV) to the standard environmental cleaning protocol in intensive care units,,,
Experimental,Randomised controlled trial,"Additional clinical pharmacist-led interventions evaluating provisional diagnosis before antibiotics, ensuring appropriate cultures before antibiotic initiation, optimizing therapy based on culture sensitivity, and adhering to guideline indications, on top of existing clinical pharmacist review for antibiotic appropriateness in pediatric patients.",,,
Quasi-experimental,Statistical matching,Sector-specific industrial policy program targeting Ethiopian chemical manufacturing firms,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Industrial Transformation and Upgrading Demonstration Zones (ITUDZ) in resource-based cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Operation of high-speed railway (HSR) in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the 2011 Social Insurance Law in China, mandating increased social security contributions for micro and small businesses",,,
Quasi-experimental,Fixed effects (incl. DiD),Hukou reform in China (reform of household registration system to increase population mobility),,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction of the Hudongyi online interactive platform enabling direct communication between individual investors and executives of firms listed on the Shenzhen Stock Exchange.,,,
