design,method,intervention
Experimental,Randomised controlled trial,Ten sessions of crisis intervention program for COVID-19 patients
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'broadband rural' network infrastructure strategy in rural areas
Experimental,Randomised controlled trial,Making a nutritious SME-produced food widely available in low-income Kenyan markets
Experimental,Randomised controlled trial,"Community-based education on complementary-food safety, hygiene, and nutrition for mothers"
Experimental,Randomised controlled trial,"Agriculture training and nutrition behavior change communication, with or without gender sensitization"
Quasi-experimental,Difference-in-Differences,Reform requiring input VAT deduction based on sales not purchase invoices
Quasi-experimental,Difference-in-Differences,Construction of intercity high-speed railways connecting Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Trade liberalization following China’s WTO accession
Experimental,Randomised controlled trial,Video-based nutrition education program delivered to students in schools
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National Centralized Drug Procurement policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of maternal and newborn health quality of care standards in facilities
Experimental,Randomised controlled trial,Group prenatal care sessions for pregnant adolescents
Experimental,Randomised controlled trial,"Input subsidies, agricultural extension, and output price supports for pulse farmers"
Quasi-experimental,Fixed effects (incl. DiD),Increased medical insurance reimbursement rates and lower deductibles for low-income households
Quasi-experimental,Fixed effects (incl. DiD),Fiscal digitalization reforms under 'province directly supervising counties' policy in China
Quasi-experimental,Fixed effects (incl. DiD),Firm-level tax rebates to Chinese enterprises
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Intellectual Property Demonstration Cities in China
Quasi-experimental,Fixed effects (incl. DiD),Expansion and acceleration of high-speed and ordinary railways in Chinese cities
Quasi-experimental,Statistical matching,Implementation of community-based health insurance in selected Ethiopian districts
Experimental,Randomised controlled trial,Facilitated WhatsApp parenting groups promoting reading and responsive caregiving
Quasi-experimental,Other,Provision of occupational health and safety measures to waste and sanitation workers
Quasi-experimental,Synthetic control,Payout of sovereign catastrophe bonds to Mexican government after 2017 earthquake
Quasi-experimental,Statistical matching,Provision of conditional cash transfers to pregnant women through the Bolsa Família Program
Quasi-experimental,Statistical matching,Enrolment in government and private health insurance schemes
Quasi-experimental,Fixed effects (incl. DiD),Implementation of fiscal transfer policies and improvement of road infrastructure
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Broadband China strategy expanding network infrastructure
Quasi-experimental,Instrumental variable estimation,Statutory retirement age policies affecting urban Chinese couples
Quasi-experimental,Statistical matching,Conservancy land lease payments to participating Maasai Mara households
Experimental,Randomised controlled trial,Mobile-delivered mindfulness-based intervention for pregnant women
Experimental,Randomised controlled trial,"Mass drug administration of ivermectin, one or two doses, to village populations"
Qualitative,Other,"Livelihoods, market support, and area development projects in humanitarian settings"
Experimental,Randomised controlled trial,Provision of mHealth support to improve child feeding practices among postpartum women
Qualitative,Other,"Comprehensive interventions addressing HIV stigma via education, counseling, community participation, and policies"
Qualitative,Other,Implementation of health insurance schemes for mothers and children in West Africa
Quasi-experimental,Fixed effects (incl. DiD),Implementation of 'network power nation' and 'internet plus' policies in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city informatization pilot projects in Chinese cities
Experimental,Randomised controlled trial,Eight-week resilience-based training for female nursing students
Quasi-experimental,Fixed effects (incl. DiD),Mandated disclosure of environmental information by Chinese firms
Quasi-experimental,Difference-in-Differences,Implementation of an exogenous government innovation policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of municipal governance policies and resilience programs targeting landslide risk
Experimental,Randomised controlled trial,School-linked life skills training for adolescents
Quasi-experimental,Statistical matching,Voluntary public health insurance program (Seguro Popular) for poor Mexican households
Quasi-experimental,Regression discontinuity design,Disclosure of air pollution level information via official announcements
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's city-level low-carbon pilot program
Quasi-experimental,Fixed effects (incl. DiD),Adoption and implementation of provincial gender policies to reduce intimate partner violence
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'river chief system + procurator' cooperative policy
Experimental,Randomised controlled trial,"Community-based healthy lifestyle education, training, and follow-up for farmers"
Quasi-experimental,Statistical matching,Door-to-door HCV screening and onsite decentralized DAA treatment in hyperendemic villages
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Air Pollution Prevention and Control Action Plan (APPCAP)
Quasi-experimental,Statistical matching,Provision of Chinese aid projects in local African communities
Quasi-experimental,Fixed effects (incl. DiD),Regional policy promoting urban agglomeration construction
Quasi-experimental,Regression discontinuity design,Conditional cash transfers with health compliance for poor households in Tanzania
Quasi-experimental,Fixed effects (incl. DiD),Chinese government-funded road improvements across Cambodia
Quasi-experimental,Fixed effects (incl. DiD),"Community mobilisation by TBAs, VHWs, PPMVs, and their combination for HIV testing"
Quasi-experimental,Fixed effects (incl. DiD),Resource-based fiscal transfers to Peruvian municipalities
Experimental,Randomised controlled trial,Personal hygiene education to preschool children based on social learning theory
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart-city construction pilot programs in select Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of BIM technology policy in China's AEC industry
Quasi-experimental,Instrumental variable estimation,Intensification of environmental regulation targeting carbon emissions and air pollution
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Comprehensive Management Action Plan for the Bohai Sea (CMAP-BS)
Experimental,Randomised controlled trial,Informational videos about registration sent to migrants via WhatsApp
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digital financial inclusion policies in selected Chinese regions
Quasi-experimental,Instrumental variable estimation,Facilitation of smallholder farmer membership in agricultural cooperatives
Quasi-experimental,Fixed effects (incl. DiD),Implementation of tax reduction policies for the green energy industry in China
